search_name,norm,naissances
Ilies,ilies,1870.0
Ashley,ashley,1870.0
Jean-Christophe,jean-christophe,1870.0
Terry,terry,1855.0
Sabine,sabine,1850.0
Calvin,calvin,1850.0
Anatole,anatole,1845.0
Anne-Lise,anne-lise,1845.0
Ana,ana,1840.0
Jeffrey,jeffrey,1835.0
Manel,manel,1830.0
Laurianne,laurianne,1830.0
Matthis,matthis,1820.0
Madeleine,madeleine,1820.0
Manuela,manuela,1820.0
Aaron,aaron,1820.0
Béatrice,beatrice,1815.0
Blanche,blanche,1815.0
Madeline,madeline,1815.0
Laurence,laurence,1810.0
José,jose,1805.0
Anas,anas,1805.0
Driss,driss,1805.0
Nadir,nadir,1800.0
Loriane,loriane,1795.0
Rachid,rachid,1795.0
Ange,ange,1795.0
Brayan,brayan,1795.0
Yousra,yousra,1785.0
Tim,tim,1785.0
Gianni,gianni,1780.0
Nesrine,nesrine,1780.0
Eloi,eloi,1775.0
Medhi,medhi,1770.0
Iman,iman,1770.0
Emre,emre,1765.0
Pamela,pamela,1760.0
Jenny,jenny,1760.0
Cleo,cleo,1760.0
Hervé,herve,1760.0
Said,said,1755.0
Marguerite,marguerite,1755.0
Ilias,ilias,1750.0
Lorene,lorene,1745.0
Elora,elora,1745.0
Joey,joey,1745.0
Patricia,patricia,1745.0
Lili,lili,1735.0
Warren,warren,1735.0
Imene,imene,1730.0
Martial,martial,1730.0
Gary,gary,1730.0
Khadija,khadija,1725.0
Celeste,celeste,1725.0
Amin,amin,1720.0
Stessy,stessy,1720.0
Soufiane,soufiane,1720.0
Mounir,mounir,1715.0
Cyrille,cyrille,1715.0
Alois,alois,1710.0
Maryne,maryne,1710.0
Hanna,hanna,1705.0
Alyson,alyson,1705.0
Oussama,oussama,1705.0
Hajar,hajar,1700.0
Cheyenne,cheyenne,1695.0
Germain,germain,1690.0
Fabian,fabian,1690.0
Violaine,violaine,1685.0
Roxanne,roxanne,1680.0
Edwin,edwin,1670.0
Milan,milan,1665.0
Loubna,loubna,1665.0
Emelyne,emelyne,1665.0
Jean-Charles,jean-charles,1660.0
Hawa,hawa,1655.0
Vianney,vianney,1655.0
Victorine,victorine,1645.0
Imen,imen,1645.0
Aya,aya,1645.0
Naima,naima,1645.0
Naim,naim,1635.0
Johana,johana,1630.0
Adil,adil,1630.0
Emily,emily,1630.0
Marceau,marceau,1625.0
Mary,mary,1620.0
Karima,karima,1615.0
Lyna,lyna,1605.0
